experiment_id,activ_fun,lr_schedule,total_steps,nb_simulations,score_weight,n_flow_layers,n_bijector_layers,c2st,nlp,seed
exp500000.0648501,silu,exp_decay,50000,35000,0.0,8,5,,,4
exp500000.0001248501,silu,exp_decay,50000,15000,0.0001,8,5,,,4
exp500000.01848501,silu,exp_decay,50000,95000,0.0,8,5,,,4
exp500000.01248501,silu,exp_decay,50000,65000,0.0,8,5,,,4
exp500000.01548501,silu,exp_decay,50000,80000,0.0,8,5,,,4
exp500000.01648501,silu,exp_decay,50000,85000,0.0,8,5,,,4
exp500000.01948501,silu,exp_decay,50000,100000,0.0,8,5,,,4
exp500000.01048501,silu,exp_decay,50000,55000,0.0,8,5,,,4
exp500000.01148501,silu,exp_decay,50000,60000,0.0,8,5,,,4
exp500000.01748501,silu,exp_decay,50000,90000,0.0,8,5,,,4
exp500000.0848501,silu,exp_decay,50000,45000,0.0,8,5,,,4
exp500000.01448501,silu,exp_decay,50000,75000,0.0,8,5,,,4
exp500000.0001348501,silu,exp_decay,50000,20000,0.0001,8,5,,,4
exp500000.0001448501,silu,exp_decay,50000,25000,0.0001,8,5,,,4
exp500000.0001148501,silu,exp_decay,50000,5000,0.0001,8,5,,,4
exp500000.01348501,silu,exp_decay,50000,70000,0.0,8,5,,,4
exp500000.0001848501,silu,exp_decay,50000,45000,0.0001,8,5,,,4
exp500000.0001048501,silu,exp_decay,50000,1000,0.0001,8,5,,,4
exp500000.0001648501,silu,exp_decay,50000,35000,0.0001,8,5,,,4
exp500000.00011148501,silu,exp_decay,50000,60000,0.0001,8,5,,,4
exp500000.0001748501,silu,exp_decay,50000,40000,0.0001,8,5,,,4
exp500000.00011048501,silu,exp_decay,50000,55000,0.0001,8,5,,,4
exp500000.00011748501,silu,exp_decay,50000,90000,0.0001,8,5,,,4
exp500000.00011348501,silu,exp_decay,50000,70000,0.0001,8,5,,,4
exp500000.00011648501,silu,exp_decay,50000,85000,0.0001,8,5,,,4
exp500000.00011448501,silu,exp_decay,50000,75000,0.0001,8,5,,,4
exp500000.0001548501,silu,exp_decay,50000,30000,0.0001,8,5,,,4
exp500000.00011948501,silu,exp_decay,50000,100000,0.0001,8,5,,,4
exp500000.00011248501,silu,exp_decay,50000,65000,0.0001,8,5,,,4
exp500000.00011548501,silu,exp_decay,50000,80000,0.0001,8,5,,,4
exp500000.00011538501,silu,exp_decay,50000,80000,0.0001,8,5,,,3
exp500000.0001638501,silu,exp_decay,50000,35000,0.0001,8,5,,,3
exp500000.01838501,silu,exp_decay,50000,95000,0.0,8,5,,,3
exp500000.01738501,silu,exp_decay,50000,90000,0.0,8,5,,,3
exp500000.0001538501,silu,exp_decay,50000,30000,0.0001,8,5,,,3
exp500000.00011738501,silu,exp_decay,50000,90000,0.0001,8,5,,,3
exp500000.0001738501,silu,exp_decay,50000,40000,0.0001,8,5,,,3
exp500000.00011638501,silu,exp_decay,50000,85000,0.0001,8,5,,,3
exp500000.00011938501,silu,exp_decay,50000,100000,0.0001,8,5,,,3
exp500000.00011838501,silu,exp_decay,50000,95000,0.0001,8,5,,,3
exp500000.00011238501,silu,exp_decay,50000,65000,0.0001,8,5,,,3
exp500000.00011338501,silu,exp_decay,50000,70000,0.0001,8,5,,,3
exp500000.01338501,silu,exp_decay,50000,70000,0.0,8,5,,,3
exp500000.01938501,silu,exp_decay,50000,100000,0.0,8,5,,,3
exp500000.00011138501,silu,exp_decay,50000,60000,0.0001,8,5,,,3
exp500000.01238501,silu,exp_decay,50000,65000,0.0,8,5,,,3
exp500000.0001438501,silu,exp_decay,50000,25000,0.0001,8,5,,,3
exp500000.0838501,silu,exp_decay,50000,45000,0.0,8,5,,,3
exp500000.01638501,silu,exp_decay,50000,85000,0.0,8,5,,,3
exp500000.0338501,silu,exp_decay,50000,20000,0.0,8,5,,,3
exp500000.01438501,silu,exp_decay,50000,75000,0.0,8,5,,,3
exp500000.01538501,silu,exp_decay,50000,80000,0.0,8,5,,,3
exp500000.0738501,silu,exp_decay,50000,40000,0.0,8,5,,,3
exp500000.0001838501,silu,exp_decay,50000,45000,0.0001,8,5,,,3
exp500000.0001238501,silu,exp_decay,50000,15000,0.0001,8,5,,,3
exp500000.0538501,silu,exp_decay,50000,30000,0.0,8,5,,,3
exp500000.01138501,silu,exp_decay,50000,60000,0.0,8,5,,,3
exp500000.00011038501,silu,exp_decay,50000,55000,0.0001,8,5,,,3
exp500000.0001338501,silu,exp_decay,50000,20000,0.0001,8,5,,,3
exp500000.0638501,silu,exp_decay,50000,35000,0.0,8,5,,,3
exp500000.0438501,silu,exp_decay,50000,25000,0.0,8,5,,,3
exp500000.0238501,silu,exp_decay,50000,15000,0.0,8,5,,,3
exp500000.01038501,silu,exp_decay,50000,55000,0.0,8,5,,,3
exp500000.0001138501,silu,exp_decay,50000,5000,0.0001,8,5,,,3
exp500000.0138501,silu,exp_decay,50000,5000,0.0,8,5,,,3
exp500000.00011438501,silu,exp_decay,50000,75000,0.0001,8,5,,,3
exp500000.0001038501,silu,exp_decay,50000,1000,0.0001,8,5,,,3
exp500000.0038501,silu,exp_decay,50000,1000,0.0,8,5,,,3
exp500000.0001828501,silu,exp_decay,50000,45000,0.0001,8,5,,,2
exp500000.0001628501,silu,exp_decay,50000,35000,0.0001,8,5,,,2
exp500000.0001428501,silu,exp_decay,50000,25000,0.0001,8,5,,,2
exp500000.01828501,silu,exp_decay,50000,95000,0.0,8,5,,,2
exp500000.01328501,silu,exp_decay,50000,70000,0.0,8,5,,,2
exp500000.00011828501,silu,exp_decay,50000,95000,0.0001,8,5,,,2
exp500000.0001728501,silu,exp_decay,50000,40000,0.0001,8,5,,,2
exp500000.01028501,silu,exp_decay,50000,55000,0.0,8,5,,,2
exp500000.00011728501,silu,exp_decay,50000,90000,0.0001,8,5,,,2
exp500000.00011928501,silu,exp_decay,50000,100000,0.0001,8,5,,,2
exp500000.00011128501,silu,exp_decay,50000,60000,0.0001,8,5,,,2
exp500000.0001328501,silu,exp_decay,50000,20000,0.0001,8,5,,,2
exp500000.01728501,silu,exp_decay,50000,90000,0.0,8,5,,,2
exp500000.00011028501,silu,exp_decay,50000,55000,0.0001,8,5,,,2
exp500000.00011528501,silu,exp_decay,50000,80000,0.0001,8,5,,,2
exp500000.00011428501,silu,exp_decay,50000,75000,0.0001,8,5,,,2
exp500000.01228501,silu,exp_decay,50000,65000,0.0,8,5,,,2
exp500000.0428501,silu,exp_decay,50000,25000,0.0,8,5,,,2
exp500000.00011328501,silu,exp_decay,50000,70000,0.0001,8,5,,,2
exp500000.01928501,silu,exp_decay,50000,100000,0.0,8,5,,,2
exp500000.00011228501,silu,exp_decay,50000,65000,0.0001,8,5,,,2
exp500000.0001528501,silu,exp_decay,50000,30000,0.0001,8,5,,,2
exp500000.00011628501,silu,exp_decay,50000,85000,0.0001,8,5,,,2
exp500000.01128501,silu,exp_decay,50000,60000,0.0,8,5,,,2
exp500000.01528501,silu,exp_decay,50000,80000,0.0,8,5,,,2
exp500000.01628501,silu,exp_decay,50000,85000,0.0,8,5,,,2
exp500000.01428501,silu,exp_decay,50000,75000,0.0,8,5,,,2
exp500000.0828501,silu,exp_decay,50000,45000,0.0,8,5,,,2
exp500000.0728501,silu,exp_decay,50000,40000,0.0,8,5,,,2
exp500000.0628501,silu,exp_decay,50000,35000,0.0,8,5,,,2
exp500000.0228501,silu,exp_decay,50000,15000,0.0,8,5,,,2
exp500000.0001228501,silu,exp_decay,50000,15000,0.0001,8,5,,,2
exp500000.0328501,silu,exp_decay,50000,20000,0.0,8,5,,,2
exp500000.0001128501,silu,exp_decay,50000,5000,0.0001,8,5,,,2
exp500000.0528501,silu,exp_decay,50000,30000,0.0,8,5,,,2
exp500000.0128501,silu,exp_decay,50000,5000,0.0,8,5,,,2
exp500000.0028501,silu,exp_decay,50000,1000,0.0,8,5,,,2
exp500000.0001028501,silu,exp_decay,50000,1000,0.0001,8,5,,,2
