experiment_id,sbi_method,proposal,activ_fun,lr_schedule,total_steps,nb_simulations,score_weight,n_flow_layers,n_bijector_layers,seed
exp_npe_ps_50000_0_20000_7_8_5_silu_exp_decay,npe,ps,silu,exp_decay,50000,20000,0,8,5,7
exp_npe_ps_50000_0_20000_8_8_5_silu_exp_decay,npe,ps,silu,exp_decay,50000,20000,0,8,5,8
exp_npe_ps_50000_0_20000_9_8_5_silu_exp_decay,npe,ps,silu,exp_decay,50000,20000,0,8,5,9
exp_npe_ps_50000_0_25000_2_8_5_silu_exp_decay,npe,ps,silu,exp_decay,50000,25000,0,8,5,2
exp_npe_ps_50000_0_25000_3_8_5_silu_exp_decay,npe,ps,silu,exp_decay,50000,25000,0,8,5,3
exp_npe_ps_50000_0_25000_4_8_5_silu_exp_decay,npe,ps,silu,exp_decay,50000,25000,0,8,5,4
exp_npe_ps_50000_0_25000_5_8_5_silu_exp_decay,npe,ps,silu,exp_decay,50000,25000,0,8,5,5
exp_npe_ps_50000_0_25000_6_8_5_silu_exp_decay,npe,ps,silu,exp_decay,50000,25000,0,8,5,6
exp_npe_ps_50000_0_25000_7_8_5_silu_exp_decay,npe,ps,silu,exp_decay,50000,25000,0,8,5,7
exp_npe_ps_50000_0_25000_8_8_5_silu_exp_decay,npe,ps,silu,exp_decay,50000,25000,0,8,5,8
exp_npe_ps_50000_0_25000_9_8_5_silu_exp_decay,npe,ps,silu,exp_decay,50000,25000,0,8,5,9
exp_npe_ps_50000_0_30000_2_8_5_silu_exp_decay,npe,ps,silu,exp_decay,50000,30000,0,8,5,2
exp_npe_ps_50000_0_30000_3_8_5_silu_exp_decay,npe,ps,silu,exp_decay,50000,30000,0,8,5,3
exp_npe_ps_50000_0_30000_4_8_5_silu_exp_decay,npe,ps,silu,exp_decay,50000,30000,0,8,5,4
exp_npe_ps_50000_0_30000_5_8_5_silu_exp_decay,npe,ps,silu,exp_decay,50000,30000,0,8,5,5
exp_npe_ps_50000_0_30000_6_8_5_silu_exp_decay,npe,ps,silu,exp_decay,50000,30000,0,8,5,6
exp_npe_ps_50000_0_30000_7_8_5_silu_exp_decay,npe,ps,silu,exp_decay,50000,30000,0,8,5,7
exp_npe_ps_50000_0_30000_8_8_5_silu_exp_decay,npe,ps,silu,exp_decay,50000,30000,0,8,5,8
exp_npe_ps_50000_0_30000_9_8_5_silu_exp_decay,npe,ps,silu,exp_decay,50000,30000,0,8,5,9
exp_npe_ps_50000_0_35000_2_8_5_silu_exp_decay,npe,ps,silu,exp_decay,50000,35000,0,8,5,2
exp_npe_ps_50000_0_35000_3_8_5_silu_exp_decay,npe,ps,silu,exp_decay,50000,35000,0,8,5,3
exp_npe_ps_50000_0_35000_4_8_5_silu_exp_decay,npe,ps,silu,exp_decay,50000,35000,0,8,5,4
